ID,Year,Area code,Area name,SOC code,Occupational title,Employment,Average wage,25th Percentile,50th Percentile,75th Percentile,Annual wage
98,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-1011,"Agents/Business Mgrs of Artists, Performers, Athletes",73,37.27,19.10,29.38,66.78,77526.00
99,2018,000053,Washington State,19-4011,Agricultural & Food Science Technicians,272,20.09,15.40,18.07,22.87,41786.00
100,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",19-4011,Agricultural & Food Science Technicians,231,19.39,14.88,17.57,21.86,40334.00
101,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",19-4011,Agricultural & Food Science Technicians,,25.39,17.48,19.43,34.96,52814.00
102,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",19-4011,Agricultural & Food Science Technicians,30,17.81,14.49,17.19,20.58,37044.00
103,2018,49420,"Yakima, WA",19-4011,Agricultural & Food Science Technicians,82,19.01,16.12,17.98,21.57,39532.00
104,2018,530004,Eastern WA Nonmetropolitan Area (NMA),19-4011,Agricultural & Food Science Technicians,36,21.45,14.83,20.88,27.22,44610.00
105,2018,000053,Washington State,17-2021,Agricultural Engineers,15,40.14,36.26,41.26,43.46,83492.00
106,2018,000053,Washington State,45-2091,Agricultural Equipment Operators,621,16.74,13.47,15.79,18.50,34821.00
107,2018,028420,"Kennewick-Richland, WA",45-2091,Agricultural Equipment Operators,21,17.91,14.25,16.12,18.85,37254.00
108,2018,48300,"Wenatchee, WA",45-2091,Agricultural Equipment Operators,116,14.14,12.20,13.63,15.00,29406.00
109,2018,49420,"Yakima, WA",45-2091,Agricultural Equipment Operators,,17.82,13.84,16.21,18.80,37070.00
110,2018,530003,Central WA Nonmetropolitan Area (NMA),45-2091,Agricultural Equipment Operators,19,14.34,12.90,14.05,15.34,29823.00
111,2018,530004,Eastern WA Nonmetropolitan Area (NMA),45-2091,Agricultural Equipment Operators,149,17.49,14.33,16.60,19.02,36368.00
112,2018,000053,Washington State,45-2011,Agricultural Inspectors,444,21.80,14.48,22.70,26.63,45346.00
113,2018,028420,"Kennewick-Richland, WA",45-2011,Agricultural Inspectors,111,14.05,11.49,11.78,12.06,29223.00
114,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",45-2011,Agricultural Inspectors,77,28.14,25.81,28.52,31.67,58547.00
115,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2011,Agricultural Inspectors,82,29.06,26.33,28.39,32.38,60451.00
116,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",45-2011,Agricultural Inspectors,,25.28,22.31,26.82,29.08,52593.00
117,2018,47460,"Walla Walla, WA",45-2011,Agricultural Inspectors,14,23.06,19.91,23.56,25.22,47982.00
118,2018,48300,"Wenatchee, WA",45-2011,Agricultural Inspectors,24,23.62,21.62,23.30,25.08,49132.00
119,2018,49420,"Yakima, WA",45-2011,Agricultural Inspectors,67,22.99,21.24,23.29,25.08,47829.00
120,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),45-2011,Agricultural Inspectors,,24.51,18.55,25.05,29.80,50974.00
121,2018,530004,Eastern WA Nonmetropolitan Area (NMA),45-2011,Agricultural Inspectors,18,22.68,18.25,25.07,25.08,47168.00
122,2018,000053,Washington State,25-1041,"Agricultural Sciences Teachers, Postsecondary",22,,,,,85858.00
123,2018,000053,Washington State,45-2099,"Agricultural Workers, All Other",195,16.06,12.59,14.65,17.75,33406.00
124,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",45-2099,"Agricultural Workers, All Other",,21.15,15.00,18.57,26.09,44002.00
125,2018,000053,Washington State,53-2021,Air Traffic Controllers,602,60.19,44.97,63.18,72.06,125197.00
126,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",53-2021,Air Traffic Controllers,98,54.59,46.26,54.33,62.78,113545.00
127,2018,000053,Washington State,53-1011,Aircraft Cargo Handling Supervisors,,29.69,19.69,27.67,37.05,61741.00
128,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",53-1011,Aircraft Cargo Handling Supervisors,80,24.14,16.53,21.34,32.02,50223.00
129,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-1011,Aircraft Cargo Handling Supervisors,,30.58,20.58,29.22,37.76,63600.00
130,2018,000053,Washington State,49-3011,Aircraft Mechanics & Service Technicians,5125,33.29,23.59,32.36,44.06,69239.00
131,2018,013380,"Bellingham, WA",49-3011,Aircraft Mechanics & Service Technicians,97,29.18,19.67,28.18,38.21,60688.00
132,2018,028420,"Kennewick-Richland, WA",49-3011,Aircraft Mechanics & Service Technicians,14,24.15,17.08,22.48,29.68,50228.00
299,2018,44060,"Spokane-Spokane Valley, WA",29-9091,Athletic Trainers,58,,,,,46194.00
133,2018,030300,"Lewiston, ID-WA",49-3011,Aircraft Mechanics & Service Technicians,22,22.96,18.40,22.65,27.53,47750.00
134,2018,036500,"Olympia-Tumwater, WA",49-3011,Aircraft Mechanics & Service Technicians,34,30.25,27.61,29.08,30.75,62912.00
135,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",49-3011,Aircraft Mechanics & Service Technicians,586,32.72,27.26,30.55,39.44,68051.00
136,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",49-3011,Aircraft Mechanics & Service Technicians,4380,33.95,23.70,34.27,44.83,70620.00
137,2018,44060,"Spokane-Spokane Valley, WA",49-3011,Aircraft Mechanics & Service Technicians,222,29.69,23.97,27.49,33.22,61754.00
138,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",49-3011,Aircraft Mechanics & Service Technicians,155,30.86,29.57,33.08,34.17,64192.00
139,2018,48300,"Wenatchee, WA",49-3011,Aircraft Mechanics & Service Technicians,,18.76,14.80,19.97,22.35,39006.00
140,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),49-3011,Aircraft Mechanics & Service Technicians,37,28.12,20.69,30.77,33.09,58494.00
141,2018,530003,Central WA Nonmetropolitan Area (NMA),49-3011,Aircraft Mechanics & Service Technicians,61,29.12,21.35,29.78,36.54,60566.00
142,2018,530004,Eastern WA Nonmetropolitan Area (NMA),49-3011,Aircraft Mechanics & Service Technicians,,25.98,22.09,24.65,29.68,54026.00
143,2018,014740,"Bremerton-Silverdale, WA",51-2011,Aircraft Structure/Surface/Rigging/System Assemblers,84,32.49,25.25,32.81,41.94,67575.00
144,2018,000053,Washington State,53-2022,Airfield Operations Specialists,250,33.01,26.51,31.40,38.04,68672.00
145,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",53-2022,Airfield Operations Specialists,64,27.02,18.23,23.77,36.46,56204.00
146,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-2022,Airfield Operations Specialists,125,34.68,25.29,30.83,41.24,72133.00
147,2018,000053,Washington State,53-2011,"Airline Pilots, Copilots & Flight Engineers",2426,,,,,245425.00
148,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",53-2011,"Airline Pilots, Copilots & Flight Engineers",2292,,,,,249825.00
149,2018,000053,Washington State,53-3011,Ambulance Drivers/Attendants (Not EMTs),213,16.05,11.91,13.32,17.56,33396.00
150,2018,000053,Washington State,39-3091,Amusement & Recreation Attendants,5084,13.58,11.84,12.39,14.32,28236.00
151,2018,013380,"Bellingham, WA",39-3091,Amusement & Recreation Attendants,125,12.39,11.66,12.00,12.41,25787.00
152,2018,014740,"Bremerton-Silverdale, WA",39-3091,Amusement & Recreation Attendants,87,12.44,11.65,11.97,12.32,25870.00
153,2018,028420,"Kennewick-Richland, WA",39-3091,Amusement & Recreation Attendants,181,13.13,11.74,12.15,12.91,27289.00
154,2018,030300,"Lewiston, ID-WA",39-3091,Amusement & Recreation Attendants,,10.45,8.47,9.29,11.84,21735.00
155,2018,034580,"Mount Vernon-Anacortes, WA",39-3091,Amusement & Recreation Attendants,,13.33,11.78,12.26,13.53,27731.00
156,2018,036500,"Olympia-Tumwater, WA",39-3091,Amusement & Recreation Attendants,171,12.53,11.73,12.13,12.64,26055.00
157,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",39-3091,Amusement & Recreation Attendants,3149,12.78,10.78,11.73,12.91,26579.00
158,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",39-3091,Amusement & Recreation Attendants,2633,13.55,11.90,12.58,14.45,28184.00
159,2018,44060,"Spokane-Spokane Valley, WA",39-3091,Amusement & Recreation Attendants,329,12.94,11.74,12.17,13.47,26909.00
160,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",39-3091,Amusement & Recreation Attendants,637,14.66,12.00,12.75,16.13,30488.00
161,2018,47460,"Walla Walla, WA",39-3091,Amusement & Recreation Attendants,30,12.68,11.73,12.23,13.74,26384.00
162,2018,48300,"Wenatchee, WA",39-3091,Amusement & Recreation Attendants,,14.60,11.88,12.68,17.71,30354.00
163,2018,49420,"Yakima, WA",39-3091,Amusement & Recreation Attendants,127,12.42,11.72,12.10,12.51,25829.00
164,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,46,16.29,11.93,14.16,18.79,33893.00
298,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",29-9091,Athletic Trainers,208,,,,,53982.00
165,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,79,12.26,11.65,11.98,12.38,25499.00
166,2018,530003,Central WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,,14.42,11.77,12.21,16.72,29984.00
167,2018,530004,Eastern WA Nonmetropolitan Area (NMA),39-3091,Amusement & Recreation Attendants,60,12.70,11.66,12.00,12.47,26415.00
168,2018,000053,Washington State,29-1061,Anesthesiologists,,127.13,,,,264418.00
169,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",29-1061,Anesthesiologists,,128.13,,,,266499.00
170,2018,000053,Washington State,45-2021,Animal Breeders,68,29.11,20.95,28.25,35.88,60542.00
171,2018,000053,Washington State,33-9011,Animal Control Workers,157,25.72,20.66,26.22,30.71,53478.00
172,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",33-9011,Animal Control Workers,35,25.40,21.84,26.61,29.44,52830.00
173,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",33-9011,Animal Control Workers,70,29.77,27.07,30.03,33.28,61912.00
174,2018,44060,"Spokane-Spokane Valley, WA",33-9011,Animal Control Workers,15,21.65,17.19,18.94,24.52,45033.00
175,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",33-9011,Animal Control Workers,15,27.12,24.21,27.78,30.64,56420.00
176,2018,49420,"Yakima, WA",33-9011,Animal Control Workers,21,20.96,18.69,21.21,23.72,43603.00
177,2018,000053,Washington State,19-1011,Animal Scientists,21,,,,,
178,2018,000053,Washington State,39-2011,Animal Trainers,466,19.92,13.91,19.18,23.88,41433.00
179,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",39-2011,Animal Trainers,153,14.26,10.74,11.60,13.63,29665.00
180,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",39-2011,Animal Trainers,319,20.40,15.03,20.81,24.29,42430.00
181,2018,44060,"Spokane-Spokane Valley, WA",39-2011,Animal Trainers,,13.28,11.80,12.27,13.62,27608.00
182,2018,000053,Washington State,19-3091,Anthropologists & Archeologists,213,36.15,27.80,36.06,44.38,75195.00
183,2018,028420,"Kennewick-Richland, WA",19-3091,Anthropologists & Archeologists,10,43.25,36.73,44.30,50.56,89950.00
184,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",19-3091,Anthropologists & Archeologists,119,38.02,29.10,38.58,46.12,79064.00
185,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",19-3091,Anthropologists & Archeologists,105,36.69,27.46,36.37,45.49,76302.00
186,2018,000053,Washington State,25-1061,"Anthropology & Archeology Teachers, Postsecondary",284,,,,,80984.00
187,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",25-1061,"Anthropology & Archeology Teachers, Postsecondary",31,,,,,82639.00
188,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",25-1061,"Anthropology & Archeology Teachers, Postsecondary",98,,,,,89534.00
189,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",25-1061,"Anthropology & Archeology Teachers, Postsecondary",28,,,,,87848.00
190,2018,000053,Washington State,13-2021,Appraisers & Assessors of Real Estate,1002,34.77,23.57,32.67,41.47,72320.00
191,2018,014740,"Bremerton-Silverdale, WA",13-2021,Appraisers & Assessors of Real Estate,,42.37,35.54,43.05,49.74,88120.00
192,2018,036500,"Olympia-Tumwater, WA",13-2021,Appraisers & Assessors of Real Estate,34,32.97,27.84,32.02,37.25,68565.00
193,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",13-2021,Appraisers & Assessors of Real Estate,435,31.57,21.42,31.89,38.27,65656.00
194,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",13-2021,Appraisers & Assessors of Real Estate,377,36.07,24.89,35.80,48.16,75015.00
195,2018,44060,"Spokane-Spokane Valley, WA",13-2021,Appraisers & Assessors of Real Estate,163,27.72,18.59,25.88,36.32,57654.00
196,2018,47460,"Walla Walla, WA",13-2021,Appraisers & Assessors of Real Estate,16,33.21,22.09,27.79,54.74,69085.00
197,2018,48300,"Wenatchee, WA",13-2021,Appraisers & Assessors of Real Estate,14,27.46,22.39,25.67,33.41,57134.00
198,2018,530001,Northwestern WA Nonmetropolitan Area (NMA),13-2021,Appraisers & Assessors of Real Estate,34,27.43,22.77,27.16,31.39,57052.00
199,2018,530002,Southwestern WA Nonmetropolitan Area (NMA),13-2021,Appraisers & Assessors of Real Estate,54,27.73,23.01,27.01,31.28,57685.00
200,2018,530004,Eastern WA Nonmetropolitan Area (NMA),13-2021,Appraisers & Assessors of Real Estate,12,37.59,24.71,44.44,46.33,78179.00
201,2018,000053,Washington State,23-1022,"Arbitrators, Mediators, & Conciliators",149,33.48,21.74,30.07,44.21,69641.00
202,2018,038900,"Portland-Vancouver-Hillsboro, OR-WA",23-1022,"Arbitrators, Mediators, & Conciliators",23,33.90,19.69,34.41,38.48,70494.00
203,2018,42644,"Seattle-Bellevue-Everett, WA Metropolitan Division",23-1022,"Arbitrators, Mediators, & Conciliators",74,34.88,15.57,30.40,50.77,72545.00
1089,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",27-2022,Coaches & Scouts,810,,,,,42538.00
204,2018,45104,"Tacoma-Lakewood, WA Metropolitan Division",23-1022,"Arbitrators, Mediators, & Conciliators",,32.67,26.51,28.80,31.09,67955.00
205,2018,000053,Washington State,17-1011,"Architects, Except Landscape & Naval",3933,37.17,28.35,35.38,44.07,77297.00
